N|N0003|200106|AAT|13|24|3|23232|8307|8525|0|0|0|0|0|0|-0.0048|||||||||
N|N0003|200106|AAT|14|21|30|9300|8600|400|0|0|0|0|0|0|0.01|||||||||
N|N0003|200106|AAT|14|22|14|17075|1950|4375|0|0|0|0|0|1350|-0.0064|||||||||
N|N0003|200106|AAT|14|23|14|34818|11968|14450|0|0|0|0|0|2000|-0.0163|||||||||
N|N0003|200106|AAT|14|24|9|51000|2200|15900|1600|0|0|0|0|100|-0.0251|||||||||
N|N0003|200106|AAT|15|21|2|650|300|0|0|0|0|0|0|0|0|||||||||
N|N0003|200106|AAT|15|22|19|21850|4100|0|0|0|0|0|0|0|0|||||||||
N|N0003|200106|AAT|15|23|33|92167|51367|2500|0|0|0|0|0|0|0.01|||||||||
N|N0003|200106|AAT|15|24|2|12400|5500|6900|0|0|0|0|0|0|-0.0768|||||||||
N|N0003|200106|ABJ|11|21|57|14508|0|14508|0|2603|9175|1650|1080|0|0.0756|0.0779|6636|0.0136|17|7872|25|||
N|N0003|200106|ABJ|11|22|46|35803|0|35803|0|7918|20417|6968|500|0|0.0829|0.1044|12250|0.0112|21|20853|17|2700|0.0278|15
N|N0003|200106|ABJ|11|23|2|4000|0|4000|0|1000|3000|0|0|0|0.145|0.16|2000|0.02|10|1000|8|1000|0.01|15
N|N0003|200106|ABJ|12|21|11|3531|0|3531|0|950|2080|501|0|0|0.0612|0.0666|2131|0.0138|14|1400|13|||
N|N0003|200106|ABJ|12|22|14|12131|0|12131|0|4200|6331|500|0|1100|0.0518|0.069|5121|0.0116|14|7010|113|||
N|N0003|200106|ABJ|12|23|8|17030|2100|12430|0|2800|7200|1030|0|900|0.0081|0.1019||||8130|263|4300|0.0267|658
N|N0003|200106|ABJ|12|24|3|18500|0|18500|0|10200|8100|0|0|0|-0.0163|0.1191||||13900|80|4600|0.0302|13
N|N0003|200106|ABJ|13|21|10|2900|400|1400|0|0|400|0|0|0|-0.0193|||||||||
N|N0003|200106|ABJ|13|22|33|30250|500|11950|0|0|600|100|900|1750|-0.0477|||||||||
N|N0003|200106|ABJ|13|23|6|13600|4000|4900|0|0|100|0|0|3500|-0.1194|||||||||
N|N0003|200106|ABJ|13|24|3|22700|0|8600|0|0|0|0|0|100|0.1722|||||||||
N|N0003|200106|ABJ|14|21|3|1200|400|400|0|0|0|0|0|0|0.03|||||||||
